fecha,mediaXX,mediaXXI
07-01,31.9,32.1
07-02,31.2,31.8
07-03,30.6,33.1
07-04,30.3,34.1
07-05,30.9,34.0
07-06,30.3,33.6
07-07,31.3,34.9
07-08,31.3,32.9
07-09,31.2,33.8
07-10,30.9,33.9
07-11,31.4,33.3
07-12,31.6,33.3
07-13,32.2,33.1
07-14,32.1,32.0
07-15,32.2,33.3
07-16,32.7,34.9
07-17,32.9,34.1
07-18,32.8,35.0
07-19,33.5,34.1
07-20,33.1,32.5
07-21,33.2,31.3
07-22,33.8,30.7
07-23,33.5,31.9
07-24,32.5,32.5
07-25,32.4,32.3
07-26,32.7,34.3
07-27,32.7,33.6
07-28,33.4,33.0
07-29,33.6,33.5
07-30,32.6,34.2
07-31,32.6,34.5
